ga:date,bounceRate,sessions,pageviews,avgTimeOnPage,avgSessionDuration,avgPageLoadTime
20201115,85.3395061728395,648,816,237.55357142857142,61.58024691358025,4.905894736842105
20210530,28.42998585572843,707,816,461.54464285714283,73.21782178217822,3.722857142857143
20201030,90.43348281016442,669,814,190.75342465753425,41.64723467862481,4.763425
20210514,23.956723338485318,647,814,296.94642857142856,77.10046367851623,4.807428571428572
20210701,22.349570200573066,698,805,425.05405405405406,67.59312320916905,6.172
20210728,25.79250720461095,694,803,444.68468468468467,71.26657060518733,7.449
20201013,84.779299847793,657,801,232.26896551724138,51.267884322678846,7.155111111111111
20210512,27.69010043041607,697,801,415.58653846153845,62.001434720229554,5.5766
20201028,89.10162002945509,679,800,242.95081967213116,43.94698085419735,5.520747126436781
20210523,28.42712842712843,693,800,362.1111111111111,56.43290043290043,4.888714285714285
20210508,27.54237288135593,708,799,368.29347826086956,47.862994350282484,6.562833333333333
20210630,22.109826589595375,692,787,434.5,60.27601156069364,6.649100000000001
20210313,26.87074829931973,588,782,259.2061855670103,85.5204081632653,4.792285714285715
20210712,23.871906841339154,687,779,408.8804347826087,54.751091703056765,6.739571428571429
20210327,30.24390243902439,615,774,260.675,67.80650406504066,5.64175
20210625,23.830409356725145,684,771,389.11494252873564,49.49561403508772,6.4148571428571435
20210726,25.996810207336523,627,765,306.15942028985506,67.377990430622,7.63075
20201010,81.63992869875223,561,763,258.55445544554453,93.6951871657754,7.131577464788732
20210702,24.393939393939394,660,757,392.680412371134,57.70454545454545,6.98175
20210727,21.777777777777775,675,756,405.08641975308643,48.60888888888889,6.045
20201025,84.33962264150944,530,749,103.88584474885845,43.06037735849057,3.584826666666667
20201114,87.82467532467533,616,736,255.50833333333333,49.7775974025974,5.3110333333333335
20210713,19.193548387096772,620,728,387.64814814814815,67.52903225806452,6.472
20200913,89.88095238095238,504,726,129.7117117117117,57.12698412698413,5.357655737704919
20210714,23.037542662116042,586,721,286.5111111111111,66.43515358361775,5.9725
20201107,88.73720136518772,586,719,182.70676691729324,42.4419795221843,4.81884375
20210306,25.2442996742671,614,713,451.06,73.4641693811075,3.4403333333333337
20201011,80.16032064128257,499,699,229.84,92.24048096192385,5.953482758620689
20210613,28.596187175043326,577,693,377.21367521367523,76.49046793760832,4.966625
20210519,28.166666666666668,600,685,450.1744186046512,65.10166666666667,10.3552
20210620,27.288135593220336,590,684,367.47872340425533,58.545762711864406,13.2456
20210513,25.178571428571427,560,683,354.008064516129,78.38571428571429,7.510125
20201029,87.1559633027523,545,677,213.58333333333334,51.7394495412844,5.503079365079365
20201108,88.18342151675485,567,673,338.25471698113205,63.7689594356261,4.320696428571429
20200919,88.39662447257383,474,652,126.09550561797752,48.16877637130802,4.90446875
20210730,25.276752767527675,542,650,356.3119266055046,71.66051660516605,5.9207777777777775
20210612,27.746741154562383,537,648,341.72972972972974,70.63314711359403,4.752333333333333
20201017,85.91224018475751,433,644,207.3127962085308,101.02078521939954,5.415666666666667
20210605,30.036630036630036,546,634,478.1011235955056,77.93589743589743,7.825888888888889
20201004,89.43396226415095,530,633,200.0097087378641,40.094339622641506,4.2918
20201101,87.54940711462451,506,628,136.08196721311475,32.80434782608695,5.728523809523809
20200926,87.10317460317461,504,620,234.31034482758622,54.62301587301587,5.760363636363636
20210619,26.095617529880478,502,618,263.8119658119658,61.4800796812749,7.980166666666667
20200815,88.25831702544032,511,617,281.5188679245283,58.39334637964775,17.888269841269842
20201024,91.12903225806451,496,615,198.6218487394958,47.66532258064516,5.4217704918032785
20201003,88.30409356725146,513,611,292.92857142857144,56.03898635477583,5.71074025974026
20200823,90.01996007984032,501,608,220.01869158878506,46.98802395209581,11.675550724637683
20200927,88.77551020408163,490,603,173.30088495575222,40.45510204081633,6.41984
20200912,89.1156462585034,441,586,206.46896551724137,67.87981859410431,5.287621621621621
20200920,89.02691511387164,483,586,265.5533980582524,56.697722567287784,6.553372881355932
20201018,85.23809523809524,420,570,188.6291390728477,67.83571428571429,5.743309523809524
20210627,22.342733188720175,461,568,409.5321100917431,96.82429501084599,6.531142857142857
20201031,87.13692946058092,482,567,258.88235294117646,45.65145228215768,5.381653846153846
20200830,88.52813852813853,462,562,237.92,51.50865800865801,16.25791489361702
20200816,88.56502242152466,446,548,198.5631067961165,45.860986547085204,10.598384615384616
20200822,88.94117647058823,425,535,180.96363636363637,46.84470588235294,9.155183333333332
20200809,89.84198645598194,443,525,340.280487804878,62.97742663656885,6.259176470588235
20200808,90.02267573696146,441,524,221.42168674698794,41.67120181405895,9.527976744186045
